NUMBER NAME & STATE/COUNTRY                                LAT   LON     ELEV (meters)

010250 TROMSO                                          NO  6941N 01855E    10
011520 BODO                                            NO  6716N 01422E    13   
012050 SVINOY (LGT-H)                                  NO  6220N 00516E    41   
012710 TRONDHEIM                                       NO  6328N 01056E    17   
013110 BERGEN                                          NO  6018N 00513E    50   
013840 OSLO/GARDERMOEN                                 NO  6012N 01105E   204   
014030 UTSIRA                                          NO  5918N 00453E    56   
014150 STAVANGER                                       NO  5853N 00538E     9   
014880 OSLO/FORNEBU                                    NO  5954N 01037E    17   
020440 KIRUNA                                          SN  6749N 02020E   452   
022260 OSTERSUND/FROSO                                 SN  6311N 01430E   370   
023660 SUNDSVALL                                       SN  6232N 01727E    10   
023760 SODERHAMN                                       SN  6116N 01706E    36   
024000 OSTMARK                                         SN  6021N 01239E   310   
024180 KARLSTAD                                        SN  5922N 01328E    55   
024580 UPPSALA                                         SN  5953N 01736E    41   
024600 STOCKHOLM: ARLANDA                              SN  5939N 01757E    61   
024640 STOCKHOLM: BROMMA                               SN  5921N 01757E    11   
025120 GOTEBORG: SAVE                                  SN  5747N 01153E    53   
025260 GOTEBORG: LANDVETTER                            SN  5740N 01218E   169   
025440 KARLSBORG                                       SN  5831N 01432E   102   
025500 JONKOPING                                       SN  5746N 01405E   232   
025900 VISBY                                           SN  5740N 01821E    47   
026360 MALMO                                           SN  5533N 01322E   106   
026660 UNGSKAR                                         SN  5602N 01548E     3   
026720 KALMAR                                          SN  5644N 01618E    16   
028440 PELLO                                           FI  6648N 02400E    84   
028790 SUOMUSSALMI                                     FI  6454N 02901E   224   
029130 KAUHAVA                                         FI  6306N 02302E    44   
029170 KUOPIO                                          FI  6301N 02748E   102   
029350 JYVASKYLA                                       FI  6224N 02541E   145   
029440 TAMPERE                                         FI  6125N 02335E   112   
029520 PORI                                            FI  6128N 02148E    17   
029650 LAHTI                                           FI  6058N 02538E    84   
029720 TURKU                                           FI  6031N 02216E    59   
029740 HELSINKI                                        FI  6019N 02458E    56   
030050 LERWICK                                         UK  6008N 00111W    84   
030170 KIRKWALL                                        UK  5857N 00254W    21   
030260 STORNOWAY                                       UK  5813N 00619W    13   
030630 AVIEMORE                                        UK  5712N 00350W   220   
030910 ABERDEEN/DYCE                                   UK  5712N 00213W    65   
031140 OBAN                                            UK  5625N 00528W     4   
031400 GLASGOW                                         UK  5552N 00426W     8   
031600 EDINBURGH                                       UK  5557N 00321W    41   
031710 LEUCHARS                                        UK  5623N 00252W    12   
032220 CARLISLE                                        UK  5456N 00257W    26   
032620 TYNEMOUTH                                       UK  5501N 00125W    30   
033020 VALLEY                                          UK  5315N 00432W    11   
033220 AUGHTON                                         UK  5333N 00255W    56   
033340 MANCHESTER                                      UK  5321N 00216W    78   
033540 NOTTINGHAM                                      UK  5300N 00115W   117   
033600 FINNINGLEY                                      UK  5329N 00100W    17   
034960 HEMSBY                                          UK  5241N 00141E    14   
035020 ABERPORTH                                       UK  5208N 00434W   134   
035340 BIRMINGHAM                                      UK  5227N 00144W    99   
035660 WYTON RAF                                       UK  5221N 00007W    41   
036830 STANSTED AIRPORT                                UK  5153N 00014E   106   
037150 CARDIFF                                         UK  5124N 00321W    67   
037260 BRISTOL                                         UK  5128N 00236W    11   
037400 LYNEHAM                                         UK  5130N 00159W   156   
037720 LONDON: HEATHROW                                UK  5129N 00027W    24   
037760 LONDON: GATWICK ARPT                            UK  5109N 00011W    62   
038080 CAMBORNE                                        UK  5022N 00532W    88   
038270 PLYMOUTH                                        UK  5021N 00407W    27   
038390 EXETER                                          UK  5044N 00325W    30   
038620 BOURNEMOUTH                                     UK  5047N 00150W    11   
038840 HERSTMONCEUX                                    UK  5052N 00020E    17   
038950 JERSEY/CHANNEL ISLANDS                          UK  4913N 00212W    84   
039170 BELFAST                                         UK  5439N 00613W    81   
039530 VALENTIA OBSERVATORY                            IE  5156N 01015W    14   
039550 CORK                                            IE  5151N 00829W   162   
039570 ROSSLARE                                        IE  5215N 00620W    25   
039600 KILKENNY                                        IE  5240N 00716W    64   
039620 SHANNON                                         IE  5242N 00855W    20   
039650 BIRR                                            IE  5305N 00753W    72   
039690 DUBLIN                                          IE  5326N 00615W    85   
039700 CLAREMORRIS                                     IE  5343N 00859W    69   
039710 MULLINGAR                                       IE  5332N 00722W   104   
039740 CLONES                                          IE  5411N 00714W    89   
039760 BELMULLET                                       IE  5414N 01000W    10   
039800 MALIN                                           IE  5522N 00720W    25   
040180 KEFLAVIK                                        IL  6358N 02236W    54   
040300 REYKJAVIK                                       IL  6408N 02154W    61   
040630 AKUREYRI                                        IL  6541N 01805W    27   
040770 RAUFARHOFN                                      IL  6627N 01557W    10   
042020 DUNDAS: THULE AB                                GL  7632N 06830W    59   
042310 KANGERLUSSUAQ                                   GL  6700N 05048W    53   
042500 GODTHAB                                         GL  6410N 05145W    70   
042700 NARSARSUAQ                                      GL  6111N 04525W    26   
060110 TORSHAVN                                        FA  6201N 00646W    39   
060300 ALBORG                                          DN  5706N 00952E     3   
060410 SKAGEN                                          DN  5746N 01039E     7   
060700 TIRSTRUP                                        DN  5618N 01037E    25   
061200 ODENSE                                          DN  5528N 01020E    17   
061790 MON ISLAND                                      DN  5457N 01233E    15   
061800 COPENHAGEN                                      DN  5538N 01240E     5   
061930 HAMMERODDE                                      DN  5518N 01447E    11   
062400 AMSTERDAM                                       NL  5218N 00446E    -2   
062600 DE BILT                                         NL  5206N 00511E     4   
062700 LEEUWARDEN                                      NL  5313N 00545E     2   
062800 GRONINGEN                                       NL  5308N 00635E     4   
063440 ROTTERDAM                                       NL  5157N 00427E    -4   
063500 GILZE/RIJEN                                     NL  5134N 00456E    13   
063700 EINDHOVEN                                       NL  5127N 00525E    22   
063800 BEEK                                            NL  5055N 00547E   116   
064000 KOKSIJDE                                        BX  5105N 00239E     9   
064070 OOSTENDE                                        BX  5112N 00252E     5   
064490 CHARLEROI                                       BX  5028N 00427E   192   
064500 ANTWERP                                         BX  5112N 00428E    14   
064510 BRUSSELS                                        BX  5054N 00432E    58   
064560 FLORENNES                                       BX  5014N 00439E   299   
064760 SAINT HUBERT                                    BX  5002N 00524E   557   
